Fullname,address,phone,companyname,address,Product 1 Title,Product 1 Price,Product 1 Quantity,Product 2 Title,Product 2 Price,Product 2 Quantity
meher,klibia,34433,vitalit,mehdia,yaought,4,2,ret,3,3
meher,mehdia,34433,vitalit,mehdia,yaought,4,2,ret,3,3
BADRI,sfax,123,TELECOM,TUNIS,modem,1324,2,carte,1243,3
amen allah,sousse,12424,merceds,germany,voiture,12314,1,,,
meher,mehdia,34433,vitalit,mehdia,yaought,4,2,ret,3,3
chokri ,newyork,234,atlas,newyork,clio,12213,1,FORD,4434,3
si ahmed,china,12124,oppo,china,asdf,12314,1,,,
meher,monastir,12345,hpittoo,francee,Pavaion,12331,3,,,
anis,lamta,12424,BCIT,MEHDIA,ZERAEZ,2315,3,,,
AZIZ,bouhjar,2121212121,test,test,test product,1000,10,,,
